season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2024,1,NYJ,REG,SF,19,29,203,2,1,1,-5,0,0,195,117,11,5.5218193506153765,-2.0668061128978064,0,19,68,1,0,0,3,-3.0369235389952083,0,19,29,203,2,1,1,195,117,11,2.196982535955729,0,0,45,6,20,3,12,0,3.0,10.0,4,0,0,4,0,0,0,0,0,0,0,0,0,3,10,3,1,4,3,77,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,1,1,0,0,1.0,0,0,0,0,0
2024,1,PHI,REG,GB,20,34,278,2,2,2,-12,0,0,237,170,14,11.177172094966746,1.243478162535308,0,38,144,2,2,1,10,-6.585977755311298,0,20,29,278,2,0,0,237,170,14,17.333494583610445,0,0,24,7,25,4,7,1,2.0,9.0,5,1,1,4,0,0,0,0,1,3,0,0,0,7,57,6,0,0,2,38,2,2,0,0,38.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,38;21,,,59,0,0,4,4,0,0,1.0,0,0,0,0,0
2024,1,PIT,REG,ATL,17,23,156,0,0,2,-23,0,0,128,54,6,-1.352276713480927,4.855539581992408,0,41,137,0,1,0,10,-5.234161121841074,0,17,22,156,0,0,0,128,54,6,3.547840257980175,0,0,30,5,19,3,21,0,2.0,18.0,7,2,49,5,0,0,0,0,1,1,1,1,0,9,60,4,4,47,0,0,6,6,0,0,57.0,1.0,0,1,0,2,3,0,0,0,0,0,0,0,57;51;44;56;40;25,,,273,0,0,0,0,0,0,,0,0,0,0,0
2024,1,SEA,REG,DEN,18,25,171,1,1,2,-13,0,0,167,67,11,-5.739696222050128,5.264541029930115,0,33,146,2,0,0,7,1.106174907006789,0,18,25,171,1,0,0,167,67,11,-3.373890967499479,0,0,50,6,16,6,18,2,2.0,6.0,8,2,4,6,0,1,0,0,0,0,1,1,0,6,41,4,1,0,3,74,2,2,0,0,50.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,50;28,,,78,0,0,2,2,0,0,1.0,0,0,0,0,0
2024,1,SF,REG,NYJ,19,29,231,0,0,3,-10,0,0,282,65,12,4.411567425682646,1.2239474674751023,0,38,180,2,0,0,12,2.5297741577378474,0,19,29,231,0,0,0,282,65,12,8.863423060883822,0,0,32,1,13,1,5,1,1.0,5.0,4,1,0,4,0,0,0,0,0,0,1,1,0,4,40,4,2,15,0,0,6,6,0,0,53.0,1.0,0,1,1,2,2,0,0,0,0,0,0,0,46;51;31;53;23;42,,,246,0,0,2,2,0,0,1.0,0,0,0,0,0
2024,1,TB,REG,WAS,24,30,289,4,0,1,-9,0,0,140,187,15,20.591765050842866,12.67606407403946,0,30,112,0,0,0,4,-6.825627435372475,0,24,30,289,4,0,0,140,187,15,23.164182658140987,0,0,32,2,24,3,24,2,2.0,23.0,2,0,0,2,0,0,0,0,0,0,0,0,0,7,46,1,1,15,1,22,3,3,0,0,56.0,1.0,0,1,1,0,1,0,0,0,0,0,0,0,56;34;29,,,119,0,0,4,4,0,0,1.0,0,0,0,0,0
2024,1,TEN,REG,CHI,19,32,127,1,2,3,-23,1,1,225,50,6,-18.171179407976318,4.881221000795012,0,26,140,1,0,0,9,2.058355855551781,0,19,27,127,1,0,0,225,50,6,1.2184758580406196,0,0,31,6,18,8,43,1,2.0,29.0,4,0,0,5,0,0,0,0,0,0,1,1,0,8,50,4,4,30,5,127,1,1,0,0,40.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,40,,,40,0,0,2,2,0,0,1.0,0,0,0,0,0
2024,1,WAS,REG,TB,17,24,184,0,0,2,-23,1,0,125,154,7,-1.738879481816272,-3.183149794737498,0,30,138,3,2,0,13,8.49417748983251,0,17,24,184,0,0,0,125,154,7,2.190909773673323,0,0,37,4,20,8,31,0,1.0,9.0,4,0,0,2,0,0,0,0,1,2,0,0,0,7,51,4,0,0,2,48,0,2,2,0,,0.0,0,0,0,0,0,0,0,0,0,1,1,0,,47;56,,0,103,0,2,2,0,0,1.0,0,0,0,0,0
2024,2,ARI,REG,LA,17,21,266,3,0,1,-8,0,0,214,101,9,18.101088591167418,17.547060478301276,0,40,231,1,2,1,15,3.402355659990622,0,17,21,266,3,0,0,214,101,9,19.874091297402693,0,0,30,6,24,12,33,1,5.0,24.0,9,0,0,2,0,0,0,0,1,1,1,1,1,5,52,0,2,30,0,0,2,2,0,0,57.0,1.0,0,0,0,1,1,0,0,0,0,0,0,0,48;57,,,105,0,0,5,5,0,0,1.0,0,0,0,0,0
2024,2,ATL,REG,PHI,20,29,241,2,0,1,-8,0,0,235,101,11,9.083101339781052,2.912838602888174,0,28,152,0,1,0,10,-0.43587328761578803,0,20,29,241,2,0,0,235,101,11,10.707860564181345,0,0,43,5,29,4,12,0,1.0,4.0,5,1,0,5,0,0,0,0,1,2,0,0,0,3,40,6,1,11,1,22,3,3,0,0,39.0,1.0,0,1,2,0,0,0,0,0,0,0,0,0,39;22;34,,,95,0,0,1,1,0,0,1.0,0,0,0,0,0
